,3/24-3/30,3/31-4/6,4/7-4/13,4/14-4/20,4/21-4/27,4/28-5/4,5/5-5/11,5/12-5/18,5/19-5/25,5/26-6/1,6/2-6/8,6/9-6/15,6/16-6/22,6/23-6/29,6/30-7/6,7/7-7/13,7/14-7/20,7/21-7/27,7/28-8/3,8/4-8/10,8/11-8/17,8/18-8/24,8/25-8/31,9/1-9/7,9/8-9/14,9/15-9/21,9/22-9/28,9/29-10/5,10/6-10/12,10/13-10/19,10/20-10/26,10/27-11/2,11/3-11/9,11/10-11/16,11/17-11/23,11/24-11/30,12/1-12/7,12/8-12/14
quads,=4+5+4+4+10,=4+4+4+2+7,=4+4+1+5+3,=3+4+4+4+3+3+5+3,=3+4+4+3+4+3+1,=5+4+4+4+4+3+6+10+4,=3+3+4+4+4+3+3,=5+4+4+4+7+4+6,,=4+4+4+3+3+3,=4+6+4+3+3,=2+2+3+2+3+3+2,=2+2+2+6,=1+3+2+5+3,=3+1+4,=2+3+2+3,=4+2+3+3+3,=3+3+3,=3+3+3,=2+6+3,=2,,=3+3,=3+4,=3+3+1+2+3+3,=1+3+3,=3+3+3+3,=3+3+3+3,=4+3+3+3+3,=4+3+3+7,=3+3+3+3,=3+3+3,=3+3,=3+3+3+3,=3+4+3+3,=3+3,=3+3,=3+3+3
glutes,=4+4+4+4,=4+4+4+4,=4+4+4+4,=4+4+4+4,=5+4+4,=4+4+4+4+3+4,=3+4+4+4+2,=4+4+4+3,=4+4+5,=4+3+2+1,=4+3+1+3,=4+1+3+3,=2+2+3,=2+3,=2+3,=3,=3+3,=3,=3,=3,,,,=1,=3,=3+3,=3,=3,,=3+3,=3+3,,=3+3+3,=3+3,=3+3,,=3+3,=3+3
hamstrings,=3+4+3+4+4,=4+4+4+4,=4+4+4+3,=4+4+3+4,=4+4+4+3,=4+4+3,=6+3,=4+6+3+4+3+3,=4+6+3+3,=3+3+3+3,=3+3+3+3,=3+3+2+3,=2+3+1+2+3,=3+1+3,=3+3+1,=3+4+4,=2+3+3,=2+3+3+1,=2+3+3+1,=1+3,=3+1+3+3,=2+3,=3+1+3+3,=3+1+3,=3+1+3,=2+1+3,=3+3+1+3,=3+3+1+3,=3+3+1+3,=3+1+3,=3+3+1,=3+1,=3+3+3+3,=3+3+1,=3+3+3+1,=2+3+1+3,=2+3+1+2
calves+soleus,=4+4+4,=2+3+3,=3+3+3,=3+3+3,=3+3+3,=3+2,,=3+3,,,,=3,=2,,=2+3,=3,=2,=2+2,,,,,,,=2+2,=2+2,=2+2,=2+2,,=2+2,,,=2+2,,,,=2+2
shoulders,=SUM(B27:B28),=SUM(C27:C29),=SUM(D27:D29),=SUM(E27:E29),=SUM(F27:F29),=SUM(G27:G29),=SUM(H27:H29),=SUM(I27:I29),=SUM(J27:J29),=SUM(K27:K29),=SUM(L27:L29),=SUM(M27:M29),=SUM(N27:N29),=SUM(O27:O29),=SUM(P27:P29),=SUM(Q27:Q29),=SUM(R27:R29),=SUM(S27:S29),=SUM(T27:T29),=SUM(U27:U29),=SUM(V27:V29),=SUM(W27:W29),=SUM(X27:X29),=SUM(Y27:Y29),=SUM(Z27:Z29),=SUM(AA27:AA29),=SUM(AB27:AB29),=SUM(AC27:AC29),=SUM(AD27:AD29),=SUM(AE27:AE29),=SUM(AF27:AF29),=SUM(AG27:AG29),=SUM(AH27:AH29),=SUM(AI27:AI29),=SUM(AJ27:AJ29),=SUM(AK27:AK29),=SUM(AL27:AL29),=SUM(AM27:AM29)
side delts,=3+3+4+3+3,=3+1+4+4,=3+3+4+4,=3+3+4+4,=4+4+3+4+4,=2+2+3+4+4,=2+5+4+5+4+4,=6+5+4+6+6+5,=6+5+4+3+4,=4+4+3+3,=4+4+5+3,=4+6+3+3,=3+4,=3+4+4,=2+4,=2+6+4,=6+2+2,=1+2+4,=2+3+4,=4+3+3,=4+4+3,=4+3+3+4,=4+4+4+3,=4+3+4+3+3,=4+6+3+3+3,=4+6+3+3+3,=4+6+3+3+3,=4+6+3+3+3,=3+4+6+3+3+4,=4+5+3+3,=5+3+4+4,=4+4,=5+3+4,=4+3+3,=5+3+4,=4+2+3,=3+3+3,=4+3
rear delts,=4+4+4+4+3,=3+4+4+4+4,=4+4+4+4+4,=4+4+4+4,=3+4+4+4,=4+4+4,=3+4+4,=4+3,=4,=4,=4,=4,=3,=3+2,=2,=1,=3,=3,=3,=3,=2,=2,=2,=2,=2,=2,=2,=2,=2,=2,=2+2,,,=2,,,=2
front delts,=3,=4,=4,,=4,=4,=4,=4
p/rehab & mobility,,=SUM(C36:C37),=SUM(D36:D37),=SUM(E36:E37),=SUM(F36:F37),=SUM(G36:G37),,,=SUM(J31:J37)
adductors/groin,=3+4,=4,=4,=4,=4,=4,=4,,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
